"","Property_ID","Listing_Title","Listing_Type","Created","Scraped","Airbnb_PID","Airbnb_HID","HomeAway_PID","HomeAway_HID","winner","Permit","ETBL_ID","n_reserved","n_available","revenue","FREH","ML","LFRML","geometry","GH","Legal","n_diff"
"209","ab-28404356","Gorgeous Downtown Montreal Apartment","Entire home/apt",2018-09-17,2019-03-13,28404356,214442604,NA,NA,24661280,FALSE,NA,49,230,1962,FALSE,FALSE,FALSE,c(611425.761305632, 5040149.210263),FALSE,TRUE,225
"210","ab-28412099","Chic Artist's loft in Plateau Mont-Royal","Entire home/apt",2018-09-12,2019-05-21,28412099,9572454,NA,NA,24661953,TRUE,395941559,114,232,12667,TRUE,FALSE,FALSE,c(611164.668025832, 5041873.78747225),FALSE,TRUE,230
"211","ab-28490011","Comfortable Room  near Saint Laurent, Montreal","Private room",2018-09-18,2019-05-24,28490011,204106107,NA,NA,24663347,FALSE,NA,78,230,2726,FALSE,FALSE,FALSE,c(611371.807228124, 5041207.33790115),FALSE,TRUE,224
"212","ab-28563389","Cozy Condo - Near Place-des Arts metro station","Entire home/apt",2018-09-22,2019-05-22,28563389,214344561,"7495510",NA,24661278,FALSE,NA,157,229,9430,TRUE,TRUE,FALSE,c(611099.260866186, 5040626.8417506),FALSE,FALSE,220
"213","ab-28583758","Lumineux appartement du Plateau Mont-Royal","Entire home/apt",2018-09-17,2019-05-19,28583758,45011037,"4962440",NA,24661852,FALSE,NA,82,240,5926,FALSE,TRUE,FALSE,c(612219.382740929, 5042131.51100628),FALSE,FALSE,225
"214","ab-28584123","Sunny two bedrooms in middle of town","Entire home/apt",2018-09-22,2019-02-15,28584123,19060672,NA,NA,24661953,FALSE,NA,65,237,5568,FALSE,FALSE,FALSE,c(611225.153244048, 5041752.7763596),FALSE,TRUE,220
"215","ab-28633095","The Migthy Downtown","Entire home/apt",2018-09-20,2019-04-20,28633095,216072197,NA,NA,24661272,FALSE,NA,5,233,563,FALSE,FALSE,FALSE,c(611604.270137526, 5040569.12787282),FALSE,TRUE,222
"216","ab-28657074","Spacious Pad in the Plateau!","Entire home/apt",2018-09-22,2018-11-07,28657074,15357567,NA,NA,24663347,FALSE,NA,4,236,808,FALSE,TRUE,FALSE,c(611414.339143531, 5041163.21615436),FALSE,FALSE,220
"217","ab-28657701","3 Bedroom Plateau Hangout!","Entire home/apt",2018-09-22,2018-11-07,28657701,15357567,NA,NA,24663346,FALSE,NA,10,222,2076,FALSE,TRUE,FALSE,c(611504.118178756, 5041277.86721529),FALSE,FALSE,220
"218","ab-28662821","Cozy bedroom in Plateau Mont Royal","Private room",2018-09-22,2018-09-29,28662821,172022785,NA,NA,24661899,FALSE,NA,2,239,78,FALSE,FALSE,FALSE,c(611290.164600531, 5042420.77160043),FALSE,TRUE,220
"219","ab-28712608","3 BEDROOM CONDO IN THE HEARTH OF LE PLATEAU","Entire home/apt",2018-09-29,2019-05-24,28712608,215193163,NA,NA,24661830,FALSE,NA,81,228,8836,FALSE,FALSE,FALSE,c(610597.425976627, 5042808.37468203),FALSE,TRUE,213
"220","ab-28713942","La chambre du Soleil","Private room",2018-09-22,2019-04-10,28713942,128763808,NA,NA,24661897,FALSE,NA,31,222,1548,FALSE,FALSE,FALSE,c(611407.479996711, 5042717.14445159),FALSE,TRUE,220
"221","ab-28735675","Spacious condo in the heart of Mont-Royal Plateau.","Private room",2018-12-03,2019-05-06,28735675,216743035,NA,NA,24661904,FALSE,NA,106,153,3069,FALSE,FALSE,FALSE,c(610838.948855141, 5042578.15275086),FALSE,TRUE,148
"222","ab-28737420","Friends&Family Big Renovated Downtown FREE PARKING","Entire home/apt",2018-10-29,2019-05-23,28737420,21402767,NA,NA,24663344,FALSE,NA,96,184,16042,TRUE,TRUE,FALSE,c(611776.098034782, 5041450.13089647),FALSE,FALSE,183
"223","ab-28790761","Cozy apartment, Downtown Place design Arts, WI-FI","Private room",2018-11-05,2019-05-21,28790761,206047094,NA,NA,24661262,FALSE,NA,80,205,2500,FALSE,FALSE,FALSE,c(611774.568812102, 5040922.22612061),FALSE,TRUE,176
"224","ab-28800232","5 Bedroom in the Plateau!!","Entire home/apt",2018-11-18,2018-12-04,28800232,209509781,NA,NA,24661945,FALSE,NA,6,181,1562,FALSE,TRUE,FALSE,c(610878.015195851, 5041224.27385863),FALSE,FALSE,163
"225","ab-28808246","Downtown Dream Loft","Private room",2018-09-26,2019-05-21,28808246,217273913,NA,NA,24663346,FALSE,NA,183,232,6137,FALSE,FALSE,FALSE,c(611574.236782896, 5041115.36262575),FALSE,TRUE,216
"226","ab-28810473","Live Like a Local in Le Plateau","Entire home/apt",2018-09-29,2019-05-21,28810473,174950857,NA,NA,24661435,FALSE,NA,151,240,10905,TRUE,TRUE,FALSE,c(610023.118773543, 5042197.047434),FALSE,FALSE,213
"227","ab-28838517","Superbly Located in Le Plateau","Entire home/apt",2018-09-29,2019-05-24,28838517,174950857,NA,NA,24661434,FALSE,NA,136,236,9734,TRUE,TRUE,FALSE,c(610025.03361459, 5042265.9824021),FALSE,FALSE,213
"228","ab-28842282","condo 2 chambres plateau","Entire home/apt",2018-09-29,2019-04-28,28842282,217493264,NA,NA,24661442,FALSE,NA,7,238,4080,FALSE,FALSE,FALSE,c(609950.88601986, 5042885.90522518),FALSE,TRUE,213
"229","ab-28854958","Marie-Anne Big two bedroom 2 minutes from subway","Entire home/apt",2018-09-29,2019-05-24,28854958,45459565,NA,NA,24661838,FALSE,NA,129,232,13736,TRUE,TRUE,FALSE,c(610867.852031368, 5042136.35943246),FALSE,FALSE,213
"230","ab-28868553","11-Excellent place to stay","Entire home/apt",2018-09-29,2018-10-08,28868553,142914282,NA,NA,24661941,FALSE,NA,0,239,0,FALSE,TRUE,FALSE,c(611130.722833819, 5041169.5407131),FALSE,FALSE,213
"231","ab-28868630","12-BEST PLACE IN MONTREAL","Entire home/apt",2018-09-29,2018-10-05,28868630,142914282,NA,NA,24661940,FALSE,NA,0,239,0,FALSE,TRUE,FALSE,c(611138.473587726, 5041092.28249934),FALSE,FALSE,213
"232","ab-28868694","13- Montreal Place","Entire home/apt",2018-09-29,2018-10-05,28868694,142914282,NA,NA,24661941,FALSE,NA,0,239,0,FALSE,TRUE,FALSE,c(611139.723424875, 5041122.76020914),FALSE,FALSE,213
"233","ab-28868783","14-Best Place Montreal","Entire home/apt",2018-09-29,2018-10-08,28868783,142914282,NA,NA,24661943,FALSE,NA,0,239,0,FALSE,TRUE,FALSE,c(611104.859318236, 5040950.06621646),FALSE,FALSE,213
"234","ab-28868887","15-The best of the bests bests Montreal","Entire home/apt",2018-09-29,2018-10-08,28868887,142914282,NA,NA,24661942,FALSE,NA,0,239,0,FALSE,TRUE,FALSE,c(611119.915780206, 5040963.02798177),FALSE,FALSE,213
"235","ab-28868931","16- The Excellent appartment","Entire home/apt",2018-09-29,2018-10-11,28868931,142914282,NA,NA,24661942,FALSE,NA,0,239,0,FALSE,TRUE,FALSE,c(611239.429318926, 5040945.51764518),FALSE,FALSE,213
"236","ab-28869028","17-THE BEST AND EXCELLENT PLACE","Entire home/apt",2018-09-29,2018-10-05,28869028,142914282,NA,NA,24661940,FALSE,NA,0,239,0,FALSE,TRUE,FALSE,c(611232.891786395, 5041151.37565532),FALSE,FALSE,213
"237","ab-28869132","18- The best of Montreal","Entire home/apt",2018-09-29,2018-10-05,28869132,142914282,NA,NA,24661941,FALSE,NA,0,239,0,FALSE,TRUE,FALSE,c(611130.919306425, 5041093.84676304),FALSE,FALSE,213
"238","ab-28893032","19-The best of the bests","Entire home/apt",2018-09-29,2018-10-11,28893032,142914282,NA,NA,24661941,FALSE,NA,0,242,0,FALSE,TRUE,FALSE,c(611086.425778881, 5041084.85068001),FALSE,FALSE,213
"239","ab-28893153","20-The best of the bests","Entire home/apt",2018-09-29,2018-10-11,28893153,142914282,NA,NA,24661941,FALSE,NA,0,242,0,FALSE,TRUE,FALSE,c(611200.756302073, 5041186.99287687),FALSE,FALSE,213
"240","ab-28893183","21-The best of the bests","Entire home/apt",2018-09-29,2018-10-11,28893183,142914282,NA,NA,24661941,FALSE,NA,0,242,0,FALSE,TRUE,FALSE,c(611088.839033787, 5041087.58324248),FALSE,FALSE,213
"241","ab-28893201","22-The best of the bests","Entire home/apt",2018-10-01,2018-10-10,28893201,142914282,NA,NA,24661942,FALSE,NA,0,242,0,FALSE,TRUE,FALSE,c(611090.976107297, 5040965.95466774),FALSE,FALSE,211
"242","ab-28893232","23-The best of the bests","Entire home/apt",2018-10-01,2018-10-10,28893232,142914282,NA,NA,24661940,FALSE,NA,0,242,0,FALSE,TRUE,FALSE,c(611152.766974245, 5040926.76787013),FALSE,FALSE,211
"243","ab-28893253","24-The best of the bests","Entire home/apt",2018-09-29,2018-10-11,28893253,142914282,NA,NA,24661940,FALSE,NA,0,242,0,FALSE,TRUE,FALSE,c(611231.410694488, 5041123.24254061),FALSE,FALSE,213
"244","ab-28893276","25-The best of the bests","Entire home/apt",2018-10-01,2018-10-10,28893276,142914282,NA,NA,24661943,FALSE,NA,0,242,0,FALSE,TRUE,FALSE,c(611250.754628459, 5040941.40235775),FALSE,FALSE,211
"245","ab-28893300","26-The best of the bests","Entire home/apt",2018-09-29,2018-10-11,28893300,142914282,NA,NA,24661946,FALSE,NA,0,242,0,FALSE,TRUE,FALSE,c(611131.385054844, 5041190.03829996),FALSE,FALSE,213
"246","ab-28893329","27-The best of the bests","Entire home/apt",2018-10-01,2018-10-10,28893329,142914282,NA,NA,24661943,FALSE,NA,0,242,0,FALSE,TRUE,FALSE,c(611265.566206596, 5040942.89188677),FALSE,FALSE,211
"247","ab-28893362","28-The best of the bests","Entire home/apt",2018-09-29,2018-10-11,28893362,142914282,NA,NA,24661941,FALSE,NA,0,242,0,FALSE,TRUE,FALSE,c(611120.380965155, 5041184.65279218),FALSE,FALSE,213
"248","ab-28893381","29-The best of the bests","Entire home/apt",2018-09-29,2018-10-11,28893381,142914282,NA,NA,24661941,FALSE,NA,0,242,0,FALSE,TRUE,FALSE,c(611268.440090839, 5041106.14103733),FALSE,FALSE,213
"249","ab-28893402","30-The best of the bests","Entire home/apt",2018-09-29,2018-10-11,28893402,142914282,NA,NA,24661941,FALSE,NA,0,242,0,FALSE,TRUE,FALSE,c(611121.916413642, 5041107.90270172),FALSE,FALSE,213
"250","ab-28893424","31-The best of the bests","Entire home/apt",2018-09-29,2018-10-11,28893424,142914282,NA,NA,24661940,FALSE,NA,0,242,0,FALSE,TRUE,FALSE,c(611210.819012309, 5041090.94760204),FALSE,FALSE,213
"251","ab-28893453","32-The best of the bests","Entire home/apt",2018-09-29,2018-10-11,28893453,142914282,NA,NA,24661942,FALSE,NA,0,242,0,FALSE,TRUE,FALSE,c(611088.887013813, 5041152.75801955),FALSE,FALSE,213
"252","ab-28893483","33-The best of the bests","Entire home/apt",2018-09-29,2018-10-11,28893483,142914282,NA,NA,24661940,FALSE,NA,0,242,0,FALSE,TRUE,FALSE,c(611158.212907356, 5041102.52250177),FALSE,FALSE,213
"253","ab-28893532","34-The best of the bests","Entire home/apt",2018-09-29,2018-10-11,28893532,142914282,NA,NA,24661940,FALSE,NA,0,242,0,FALSE,TRUE,FALSE,c(611203.954603683, 5041107.29405932),FALSE,FALSE,213
"254","ab-28893598","35-The best of the bests","Entire home/apt",2018-10-01,2018-10-10,28893598,142914282,NA,NA,24661943,FALSE,NA,0,242,0,FALSE,TRUE,FALSE,c(611115.930167022, 5040932.61335525),FALSE,FALSE,211
"255","ab-28893630","36-The best of the bests","Entire home/apt",2018-10-01,2018-10-10,28893630,142914282,NA,NA,24661943,FALSE,NA,0,242,0,FALSE,TRUE,FALSE,c(611239.606372475, 5041008.46590552),FALSE,FALSE,211
"256","ab-28893658","37-The best of the bests","Entire home/apt",2018-10-01,2018-10-10,28893658,142914282,NA,NA,24661942,FALSE,NA,0,242,0,FALSE,TRUE,FALSE,c(611161.521255481, 5041005.63786511),FALSE,FALSE,211
"257","ab-28893689","38-The best of the bests","Entire home/apt",2018-10-01,2018-10-10,28893689,142914282,NA,NA,24661943,FALSE,NA,0,242,0,FALSE,TRUE,FALSE,c(611227.780718721, 5040972.15763391),FALSE,FALSE,211
"258","ab-28910903","Very big room in beautiful apartment with garden!","Private room",2018-10-01,2019-05-24,28910903,217924910,NA,NA,24661898,FALSE,NA,51,240,2265,FALSE,FALSE,FALSE,c(611514.269252912, 5042510.11478065),FALSE,TRUE,211
"259","ab-28914518","Plateau - Laurier - Charmant condo - Situation***","Entire home/apt",2018-10-29,2019-05-24,28914518,16338098,NA,NA,24661910,FALSE,NA,101,205,9111,TRUE,FALSE,FALSE,c(610699.213840732, 5043192.46484693),FALSE,FALSE,183
"260","ab-28916657","Saint-Denis room IV - in the Heart of Montreal","Private room",2018-10-03,2019-05-24,28916657,217970411,NA,NA,24661936,TRUE,500017040,69,241,2915,FALSE,TRUE,FALSE,c(611713.307287975, 5041597.92903341),TRUE,TRUE,209
"261","ab-28939625","Quiet Comfy Bedroom at the Heart of Montreal A2","Private room",2018-10-01,2018-10-04,28939625,37185671,NA,NA,24661940,FALSE,NA,42,239,2436,FALSE,TRUE,FALSE,c(611258.691392871, 5040823.16809876),TRUE,FALSE,211
"262","ab-28939856","BEST LOCATION - Stunning Historic Downtown Home A","Entire home/apt",2018-10-01,2018-10-04,28939856,37185671,NA,NA,24661943,FALSE,NA,19,232,2964,FALSE,TRUE,TRUE,c(611257.717303649, 5040795.9796353),FALSE,TRUE,211
"263","ab-28940228","Comfy Quiet Room Lovely Historic Downtown Home A3","Private room",2018-10-01,2018-10-04,28940228,37185671,NA,NA,24661943,FALSE,NA,38,239,2204,FALSE,TRUE,FALSE,c(611125.559418921, 5040999.4569387),TRUE,FALSE,211
"264","ab-28977004","2 Bedrooms in the Heart of The Plateau Mont-Royal","Entire home/apt",2018-10-03,2019-03-23,28977004,498177,NA,NA,24661797,FALSE,NA,113,230,6302,TRUE,TRUE,TRUE,c(611955.077381174, 5042933.60742384),FALSE,FALSE,209
"265","ab-28987709","Saint-Denis room I - In the Heart of Montreal","Private room",2018-10-03,2019-05-23,28987709,217970411,NA,NA,24661937,TRUE,500017040,67,241,3483,FALSE,TRUE,FALSE,c(611637.96644885, 5041397.66080888),TRUE,TRUE,209
"266","ab-28988892","Saint-Denis room III- In the Heart of Montreal","Private room",2018-10-03,2019-05-23,28988892,217970411,NA,NA,24661936,TRUE,500017040,100,221,4358,FALSE,TRUE,FALSE,c(611672.259918451, 5041621.64694798),TRUE,TRUE,209
"267","ab-29000936","❤️ Cozy, Bright, right on Sherbrooke St. ❤️","Private room",2018-10-08,2019-05-12,29000936,218582148,NA,NA,24662026,FALSE,NA,0,210,0,FALSE,FALSE,FALSE,c(612254.898984773, 5043681.33705707),FALSE,TRUE,204
"268","ab-29001197","Bright, Private Room in Le Plateau","Private room",2018-10-22,2019-04-13,29001197,75563786,NA,NA,24661947,FALSE,NA,77,202,1532,FALSE,FALSE,FALSE,c(611216.591972974, 5041456.85251267),FALSE,TRUE,190
"269","ab-29009652","Stylish Apartment in Plateau !","Entire home/apt",2018-10-04,2019-05-22,29009652,145975966,NA,NA,24661802,FALSE,NA,188,233,5794,TRUE,FALSE,FALSE,c(611852.077728418, 5043452.98009356),FALSE,FALSE,208
"270","ab-29024302","All new Mile-end Apt! Sleep 6 guests!","Entire home/apt",2018-10-22,2019-05-23,29024302,78168791,NA,NA,24661376,FALSE,NA,167,207,10936,TRUE,TRUE,FALSE,c(609575.655212694, 5042457.03629849),FALSE,FALSE,190
"271","ab-29059283","Wonderful modern studio Saint Laurent's boulevard","Entire home/apt",2018-10-06,2018-10-09,29059283,17843228,NA,NA,24661943,FALSE,NA,11,212,935,FALSE,FALSE,FALSE,c(611343.035310514, 5040945.75354851),FALSE,TRUE,206
"272","ab-29103635","Zen Sanctuary (Tourism Permit & Free Parking)","Entire home/apt",2018-10-08,2019-05-21,29103635,219345292,NA,NA,24661936,TRUE,392546893,154,207,9331,TRUE,TRUE,FALSE,c(611655.206934999, 5041570.22249838),FALSE,TRUE,204
"273","ab-29213402","Salle Casgrain","Entire home/apt",2018-10-22,2019-05-22,29213402,220107321,NA,NA,24661375,FALSE,NA,71,209,37994,FALSE,FALSE,FALSE,c(609578.526315069, 5042471.5335152),FALSE,TRUE,190
"274","ab-29218424","BEAUTIFUL LOFT in the plateau, 3 min downtown","Private room",2018-10-22,2019-05-13,29218424,90512358,NA,NA,24661941,FALSE,NA,20,212,1058,FALSE,FALSE,FALSE,c(611217.546402694, 5041226.82662525),FALSE,TRUE,190
"275","ab-29233427","2 Bed in Beautiful Mont Royal","Entire home/apt",2018-10-29,2018-12-21,29233427,217456156,NA,NA,24661962,FALSE,NA,3,211,191,FALSE,TRUE,FALSE,c(610648.038177943, 5041655.60780974),FALSE,FALSE,183
"276","ab-29244810","Top Location Studio Place-des-Arts/Downtown 3","Entire home/apt",2018-10-22,2019-05-20,29244810,50027321,NA,NA,24662114,FALSE,NA,179,208,9150,TRUE,TRUE,FALSE,c(611761.832918621, 5040453.02208487),FALSE,FALSE,190
"277","ab-29274246","3 BDR Apartment in Downtown Montreal","Entire home/apt",2018-10-22,2019-05-24,29274246,217787348,NA,NA,24661940,FALSE,NA,24,192,2175,FALSE,FALSE,FALSE,c(611224.392969207, 5041149.15581087),FALSE,TRUE,190
"278","ab-29315147","Belle chambre Propre sur le Plateau Mont-Royal","Private room",2018-10-29,2019-05-25,29315147,8083722,NA,NA,24661810,FALSE,NA,77,191,3723,FALSE,FALSE,FALSE,c(611441.345299594, 5043755.72199213),FALSE,TRUE,183
"279","ab-29354324","Crisp Studio in Le Plateau","Entire home/apt",2018-10-29,2018-11-13,29354324,198068937,NA,NA,24663347,FALSE,NA,31,212,2944,FALSE,TRUE,FALSE,c(611612.613853719, 5041130.06412862),FALSE,FALSE,183
"280","ab-29354414","9 Bedroom, 3 Bathroom House- Awesome Location!","Entire home/apt",2018-11-20,2018-12-01,29354414,209509781,NA,NA,24661849,FALSE,NA,11,181,4080,FALSE,TRUE,FALSE,c(612076.643850694, 5041732.33313919),FALSE,FALSE,161
"281","ab-29355930","Bright 2 Bedroom in Heart of the Plateau!","Entire home/apt",2018-11-20,2018-12-02,29355930,209509781,NA,NA,24661946,FALSE,NA,0,181,0,FALSE,TRUE,FALSE,c(611408.462254876, 5041221.19306925),FALSE,FALSE,161
"282","ab-29356508","Spacious Plateau 3 Bedroom!","Entire home/apt",2018-11-20,2018-12-02,29356508,209509781,NA,NA,24661940,FALSE,NA,0,172,0,FALSE,TRUE,FALSE,c(611431.446988341, 5041112.99245741),FALSE,FALSE,161
"283","ab-29357133","Fantastic Plateau Townhouse","Entire home/apt",2018-11-20,2018-12-01,29357133,209509781,NA,NA,24661940,FALSE,NA,1,175,757,FALSE,TRUE,FALSE,c(611494.469018297, 5041099.58804031),FALSE,FALSE,161
"284","ab-29357582","Amazing House Downtown!","Entire home/apt",2018-11-20,2018-12-02,29357582,209509781,NA,NA,24661272,FALSE,NA,0,180,0,FALSE,TRUE,FALSE,c(611438.396373488, 5040689.80143509),FALSE,FALSE,161
"285","ab-29359179","Central and kid-friendly","Entire home/apt",2018-10-29,2019-01-03,29359179,221183252,NA,NA,24661954,FALSE,NA,109,189,7847,TRUE,FALSE,FALSE,c(611169.129330224, 5041604.6607173),FALSE,FALSE,183
"286","ab-29360994","3 Bedroom Perfect Location!","Entire home/apt",2018-12-31,2019-01-19,29360994,102080142,NA,NA,24661950,FALSE,NA,9,145,966,FALSE,TRUE,FALSE,c(611201.232538982, 5041747.25993431),FALSE,FALSE,120
"287","ab-29389591","Magnifique oasis au cœur du Plateau Mont-Royal","Entire home/apt",2018-10-29,2018-11-07,29389591,17035694,NA,NA,24661899,FALSE,NA,7,202,322,FALSE,FALSE,FALSE,c(611360.142640213, 5042490.07621149),FALSE,TRUE,183
"288","ab-29392631","Chambre spacieuse dans 4 1/2 au coeur du Plateau","Private room",2018-10-29,2019-05-23,29392631,37951513,NA,NA,24661843,FALSE,NA,51,212,1767,FALSE,FALSE,FALSE,c(611602.710613255, 5041973.80884292),FALSE,TRUE,183
"289","ab-29398492","The honey bubble","Entire home/apt",2018-10-22,2019-05-24,29398492,8997075,NA,NA,24661262,FALSE,NA,174,204,7495,TRUE,TRUE,FALSE,c(611764.254445416, 5041018.72720395),FALSE,FALSE,190
"290","ab-29398602","AVRE DE PAIX","Entire home/apt",2018-10-29,2018-11-01,29398602,221399858,NA,NA,24661375,FALSE,NA,18,211,964,FALSE,TRUE,FALSE,c(609589.297300832, 5042533.78141649),FALSE,FALSE,183
"291","ab-29410211","Huge House - Great Spot!","Entire home/apt",2018-11-26,2019-01-24,29410211,221166534,NA,NA,24661940,FALSE,NA,11,181,5237,FALSE,TRUE,FALSE,c(611351.821228127, 5040963.94178519),FALSE,FALSE,155
"292","ab-29432530","Cute Sherbrooke St Home","Private room",2018-11-28,2019-04-19,29432530,8979641,NA,NA,24661791,FALSE,NA,2,181,58,FALSE,TRUE,FALSE,c(612243.602101329, 5043439.97642742),TRUE,FALSE,153
"293","ab-29438311","Living Montreal","Entire home/apt",2018-11-05,2019-05-21,29438311,130426935,"7445356",NA,24661949,FALSE,NA,48,206,7528,FALSE,TRUE,FALSE,c(611332.813360782, 5041643.39382064),FALSE,FALSE,176
"294","ab-29484876","Grand appartement PLATEAU Mont-Royal- 5 chambres","Entire home/apt",2018-11-05,2019-01-10,29484876,11598452,NA,NA,24661829,FALSE,NA,20,212,5667,FALSE,FALSE,FALSE,c(610520.600878475, 5042842.14490441),FALSE,TRUE,176
"295","ab-29514207","Perfectly Located 2 Bedroom!","Entire home/apt",2019-01-07,2019-01-19,29514207,102080142,NA,NA,24661963,FALSE,NA,0,120,0,FALSE,TRUE,FALSE,c(610651.169047725, 5041812.22158981),FALSE,FALSE,113
"296","ab-29514800","Mont Royal 2 Bedroom Apartment","Entire home/apt",2019-01-07,2019-01-19,29514800,102080142,NA,NA,24661963,FALSE,NA,0,120,0,FALSE,TRUE,TRUE,c(610611.93383205, 5041785.12541165),FALSE,TRUE,113
"297","ab-29515266","Studios St-Denis | The Penthouse","Entire home/apt",2018-11-14,2019-05-23,29515266,27360967,"7445371",NA,24661949,TRUE,500014986,54,179,4217,FALSE,TRUE,FALSE,c(611337.578237615, 5041639.03314718),FALSE,TRUE,167
"298","ab-29522472","Cozy Skylight Apartment!","Entire home/apt",2018-12-19,2019-01-16,29522472,102080142,NA,NA,24661437,FALSE,NA,6,142,297,FALSE,TRUE,FALSE,c(610224.281179556, 5042495.70851977),FALSE,FALSE,132
"299","ab-29533262","Beau condo lumineux avec sa vue sur le Mont Royal","Entire home/apt",2018-11-26,2019-04-04,29533262,16941120,NA,NA,24661827,FALSE,NA,138,169,7881,FALSE,FALSE,FALSE,c(610019.722720718, 5043236.06566266),FALSE,TRUE,155
"300","ab-29561499","Spacious & Renovated, Historic Downtown Apartment","Entire home/apt",2018-10-31,2019-01-07,29561499,222562462,NA,NA,24661278,FALSE,NA,44,212,4875,FALSE,FALSE,FALSE,c(611004.212610599, 5040459.08163416),FALSE,TRUE,181
"301","ab-29561614","Habitacion Laurier 260 EST","Private room",2018-11-20,2019-05-21,29561614,157146817,NA,NA,24661435,FALSE,NA,12,181,304,FALSE,FALSE,FALSE,c(610093.284275225, 5042160.49456675),FALSE,TRUE,161
"302","ab-29563388","*Modern, Clean Studio* Middle of Downtown!","Entire home/apt",2018-11-05,2019-01-13,29563388,222230961,NA,NA,24661279,FALSE,NA,29,187,1113,FALSE,TRUE,FALSE,c(611036.371584365, 5040477.36540899),FALSE,FALSE,176
"303","ab-29563507","*Cozy, Modern Studio* Middle of Downtown!","Entire home/apt",2018-11-05,2019-01-14,29563507,222230961,NA,NA,24661285,FALSE,NA,40,181,1778,FALSE,TRUE,FALSE,c(610994.12351438, 5040405.30132601),FALSE,FALSE,176
"304","ab-29563616","*One of a Kind Basement Apt* Middle of Downtown!","Entire home/apt",2018-11-05,2019-01-13,29563616,222230961,NA,NA,24661286,FALSE,NA,33,193,1493,FALSE,TRUE,FALSE,c(611037.809785066, 5040451.2741092),FALSE,FALSE,176
"305","ab-29563748","*Unique, Cozy Apartment* Middle of Downtown!","Entire home/apt",2018-11-05,2019-01-13,29563748,222230961,NA,NA,24661286,FALSE,NA,33,184,1876,FALSE,TRUE,FALSE,c(611050.206885272, 5040445.4910333),FALSE,FALSE,176
"306","ab-29564139","*PARKING* 2 Floor, Spacious Apt Middle of Downtown","Entire home/apt",2018-11-05,2019-01-14,29564139,222230961,NA,NA,24663358,FALSE,NA,46,183,3266,FALSE,TRUE,FALSE,c(611124.563770707, 5040300.00076548),FALSE,FALSE,176
"307","ab-29564303","*Artsy, 2 BDR Apartment* Middle of Downtown!","Entire home/apt",2018-11-05,2019-01-13,29564303,222230961,NA,NA,24661285,FALSE,NA,46,184,3362,FALSE,TRUE,FALSE,c(611135.239285952, 5040313.36969467),FALSE,FALSE,176
"308","ab-29564449","*Modern, Classy 2 BDR Apt* Middle of Downtown!","Entire home/apt",2018-11-05,2019-01-13,29564449,222230961,NA,NA,24661277,FALSE,NA,55,191,4564,FALSE,TRUE,FALSE,c(611131.294877114, 5040476.1320113),FALSE,FALSE,176
"309","ab-29564860","*PARKING* Beautiful, Elegant Gem Inside Downtown!","Entire home/apt",2018-11-05,2019-01-13,29564860,222230961,NA,NA,24661278,FALSE,NA,51,188,3535,FALSE,TRUE,FALSE,c(611135.987545349, 5040296.42862552),FALSE,FALSE,176
"310","ab-29564986","Condo une chambre au centre-ville de Montréal","Entire home/apt",2018-11-05,2018-11-21,29564986,222586869,NA,NA,24661264,FALSE,NA,29,207,2309,FALSE,FALSE,FALSE,c(611887.969232151, 5041074.64398261),FALSE,TRUE,176
"311","ab-29624865","Affordable Studio in Plateau Mont-Royal - 11","Entire home/apt",2018-11-05,2019-03-21,29624865,156317705,NA,NA,24661432,FALSE,NA,119,177,4044,FALSE,TRUE,FALSE,c(610062.503582308, 5041555.4004763),FALSE,FALSE,176
"312","ab-29625462","Artsy 1BR in Plateau Mont Royal - 5 mins to Dtown","Entire home/apt",2018-10-31,2019-04-28,29625462,156317705,NA,NA,24661416,FALSE,NA,149,185,5641,TRUE,TRUE,FALSE,c(609899.838514615, 5041520.31945245),FALSE,FALSE,181
"313","ab-29626755","Chambre confortable dans appartement accueillant","Private room",2018-11-05,2019-05-24,29626755,223010879,NA,NA,24661822,FALSE,NA,76,185,1991,FALSE,FALSE,FALSE,c(610640.533613603, 5043684.85399669),FALSE,TRUE,176
"314","ab-29626954","APARTMENT IN THE HEART OF THE CITY","Entire home/apt",2018-10-31,2019-05-17,29626954,222596443,NA,NA,24661442,FALSE,NA,128,185,5896,TRUE,TRUE,FALSE,c(610017.119014454, 5042805.94154024),FALSE,FALSE,181
"315","ab-29627013","Chic, sophisticated home in the heart of Plateau","Entire home/apt",2018-11-26,2019-05-24,29627013,59220853,NA,NA,24661847,FALSE,NA,22,179,4570,FALSE,FALSE,FALSE,c(611770.634815081, 5041668.96390504),FALSE,TRUE,155
"316","ab-29633134","Private Room in the heart of Montreal","Private room",2018-11-14,2018-12-18,29633134,33554941,NA,NA,24663350,FALSE,NA,26,181,904,FALSE,FALSE,FALSE,c(611727.530018731, 5041132.51470187),FALSE,TRUE,167
"317","ab-29634225","Cosy 1-bedroom apartment in downtown Montréal","Entire home/apt",2018-10-31,2019-05-07,29634225,223072347,NA,NA,24663358,FALSE,NA,29,209,1453,FALSE,FALSE,FALSE,c(610989.090386399, 5040229.26325481),FALSE,TRUE,181
