"","Property_ID","Listing_Title","Listing_Type","Created","Scraped","Airbnb_PID","Airbnb_HID","HomeAway_PID","HomeAway_HID","winner","Permit","ETBL_ID","n_reserved","n_available","revenue","FREH","ML","LFRML","geometry","GH","Legal","n_diff"
"25","ab-24987845","Beautiful tiny studio by St-laurent street","Entire home/apt",2018-05-12,2019-05-24,24987845,156681413,NA,NA,24663349,FALSE,NA,206,357,7833,TRUE,FALSE,FALSE,c(611590.845872873, 5040972.29789716),FALSE,FALSE,353
"26","ab-25004646","MID CENTURY MODERN","Entire home/apt",2018-05-12,2019-05-24,25004646,3928183,NA,NA,24661808,FALSE,NA,19,356,3873,FALSE,FALSE,FALSE,c(611483.227866732, 5043508.64176577),FALSE,TRUE,353
"27","ab-25024226","VINCENT two bedroom apartment in the plateau","Entire home/apt",2018-05-14,2019-05-22,25024226,156930047,NA,NA,24661900,FALSE,NA,298,353,26484,TRUE,TRUE,FALSE,c(610886.129028292, 5042781.24710558),FALSE,FALSE,351
"28","ab-25067754","Charmant appartement au coeur du Plateau","Entire home/apt",2018-05-16,2018-07-03,25067754,21185833,NA,NA,24661964,FALSE,NA,23,364,1932,FALSE,TRUE,FALSE,c(610668.895658168, 5041754.10650817),FALSE,FALSE,349
"29","ab-25139328","Brand New! Luxurious Mile End Loft! With A/C 101","Entire home/apt",2018-06-29,2019-05-24,25139328,58076590,"7157311","CanadaStays-970970w",24661392,TRUE,500016786,191,306,30804,TRUE,TRUE,FALSE,c(609030.189822558, 5042156.3632612),FALSE,TRUE,305
"30","ab-25201011","Heart of Plateau 2bdrm","Entire home/apt",2018-05-22,2018-06-25,25201011,135944830,NA,NA,24661963,FALSE,NA,6,361,1207,FALSE,TRUE,FALSE,c(610518.457376704, 5041806.04116608),FALSE,FALSE,343
"31","ab-25250274","SU15.  Plateau style, 3 BR in PERFECT LOCATION!!","Entire home/apt",2018-05-22,2019-05-23,25250274,123332723,NA,NA,24661961,FALSE,NA,126,356,12165,TRUE,TRUE,FALSE,c(610609.693223897, 5041271.64177648),FALSE,FALSE,343
"32","ab-25252273","SU37. Up to 3Bedrooms. PERFECT LOCATION!!","Entire home/apt",2018-05-22,2019-05-22,25252273,123332723,NA,NA,24661957,FALSE,NA,168,345,13806,TRUE,TRUE,FALSE,c(610756.144421853, 5041428.6993854),FALSE,FALSE,343
"33","ab-25321978","Montreal condo in the BEST location!","Entire home/apt",2018-05-24,2019-05-23,25321978,58368782,NA,NA,24661286,FALSE,NA,256,348,15916,TRUE,TRUE,FALSE,c(611025.027861575, 5040362.14564845),FALSE,FALSE,341
"34","ab-25354684","Lovely appartment in Plateau Mont Royal","Entire home/apt",2018-06-29,2019-04-09,25354684,83264833,NA,NA,24661840,FALSE,NA,80,306,8943,FALSE,FALSE,FALSE,c(611378.076562445, 5042437.68029657),FALSE,TRUE,305
"35","ab-25354721","Unreal 6 Bed - Heart of Plateau!","Entire home/apt",2018-06-29,2018-08-21,25354721,185080449,NA,NA,24661960,FALSE,NA,20,322,5819,FALSE,TRUE,FALSE,c(610715.455463318, 5041334.95793999),FALSE,FALSE,305
"36","ab-25356387","H8~4BR 4QB 3SofaB/FreeParking/AC","Entire home/apt",2018-06-29,2019-05-20,25356387,191478556,NA,NA,24661958,FALSE,NA,253,310,33422,TRUE,TRUE,FALSE,c(611014.622943691, 5041435.49263236),FALSE,FALSE,305
"37","ab-25369544","3 1/2 apartment near universities in Montreal DT","Entire home/apt",2018-06-29,2019-05-24,25369544,68746835,NA,NA,24661858,FALSE,NA,192,308,11584,TRUE,TRUE,FALSE,c(612016.340468091, 5041384.40444201),FALSE,FALSE,305
"38","ab-25376184","Cute Sherbrooke Street Home! (August 15%off !)","Private room",2018-06-29,2019-04-18,25376184,8979641,NA,NA,24662026,FALSE,NA,25,321,2566,FALSE,TRUE,FALSE,c(612295.882833654, 5043529.81931397),TRUE,FALSE,305
"39","ab-25382396","Quiet/Practical Apartment in Trendy Mile End 2","Private room",2018-06-05,2019-05-24,25382396,86649254,NA,NA,24661375,FALSE,NA,121,357,5907,FALSE,FALSE,FALSE,c(609350.850026924, 5042403.10194789),FALSE,TRUE,329
"40","ab-25454355","Large 4 Bdrm in the Plateau!","Entire home/apt",2018-06-08,2018-08-07,25454355,188549857,NA,NA,24661945,FALSE,NA,33,331,6528,FALSE,TRUE,FALSE,c(610852.109785049, 5041239.87409824),FALSE,FALSE,326
"41","ab-25506188","Mile-End - chambre spacieuse","Private room",2018-07-11,2019-04-14,25506188,12643602,NA,NA,24661373,FALSE,NA,111,304,3578,FALSE,TRUE,FALSE,c(609163.979720945, 5042144.24442952),FALSE,TRUE,293
"42","ab-25507191","Cozy Plateau appartment.","Entire home/apt",2018-06-08,2019-05-23,25507191,106636203,NA,NA,24661809,FALSE,NA,2,331,390,FALSE,FALSE,FALSE,c(611762.860335505, 5043725.88575908),FALSE,TRUE,326
"43","ab-25518471","Renovated 5 bed - Middle of Plateau!","Entire home/apt",2018-07-21,2018-07-21,25518471,68002838,NA,NA,24661958,FALSE,NA,0,304,0,FALSE,TRUE,FALSE,c(610876.95178042, 5041392.30294377),FALSE,FALSE,283
"44","ab-25553868","Minimustus Havre de paix a Montreal","Entire home/apt",2018-06-09,2018-06-27,25553868,192791814,NA,NA,24661273,FALSE,NA,2,332,416,FALSE,FALSE,FALSE,c(611378.060101585, 5040735.35759348),FALSE,TRUE,325
"45","ab-25580844","Large apartment in the Plateau Mont-royal","Private room",2018-06-08,2019-05-24,25580844,1630921,NA,NA,24661894,FALSE,NA,27,331,831,FALSE,FALSE,FALSE,c(611566.6747623, 5043076.71055422),FALSE,TRUE,326
"46","ab-25740684","Charming Apartment in Outremont","Entire home/apt",2018-06-08,2019-05-21,25740684,40977066,NA,NA,24661360,FALSE,NA,14,334,2169,FALSE,FALSE,FALSE,c(608556.583164161, 5041943.66492979),FALSE,TRUE,326
"47","ab-25777434","Breathtaking 2000sqft 5beds/2bath Best Location","Entire home/apt",2018-06-09,2019-01-08,25777434,156065758,NA,NA,24661418,FALSE,NA,143,330,37119,TRUE,TRUE,FALSE,c(610213.34398048, 5041252.90292049),FALSE,FALSE,325
"48","ab-25781416","Beautifully renovated Mile-End one bedroom apt!","Entire home/apt",2019-01-16,2019-05-23,25781416,16722717,NA,NA,24661379,FALSE,NA,79,119,3238,FALSE,TRUE,TRUE,c(609735.389588933, 5041944.18235162),FALSE,TRUE,104
"49","ab-25816131","Plateau 4 Bedroom Group Setup!","Entire home/apt",2018-06-20,2018-08-21,25816131,185080449,NA,NA,24661945,FALSE,NA,32,323,7401,FALSE,TRUE,FALSE,c(610939.499244261, 5041167.58377768),FALSE,FALSE,314
"50","ab-25840982","The Turks","Entire home/apt",2018-06-08,2019-05-22,25840982,13604267,NA,NA,24661284,FALSE,NA,54,331,5075,FALSE,TRUE,FALSE,c(611453.283363593, 5040227.49137094),FALSE,FALSE,326
"51","ab-25846337","HUGE HOUSE (9bdrm 3bath)","Entire home/apt",2018-06-08,2018-11-06,25846337,68002838,NA,NA,24661849,FALSE,NA,62,331,84778,FALSE,TRUE,FALSE,c(612162.058034172, 5041726.33400003),FALSE,FALSE,326
"52","ab-26029137","Perfectly Located Apt in Plateau","Entire home/apt",2018-06-15,2019-05-23,26029137,174950857,NA,NA,24661434,FALSE,NA,236,325,17284,TRUE,TRUE,FALSE,c(609895.341387525, 5042222.58909465),FALSE,FALSE,319
"53","ab-26030028","Beautiful Historic Montreal PLATEAU Apartment!","Entire home/apt",2018-06-16,2018-07-07,26030028,111568177,NA,NA,24661816,FALSE,NA,11,325,858,FALSE,FALSE,FALSE,c(611131.144810166, 5043373.95053),FALSE,TRUE,318
"54","ab-26062683","Studio Apartment right next to McGill campus","Entire home/apt",2018-06-16,2018-06-22,26062683,71573070,NA,NA,24661285,FALSE,NA,11,327,359,FALSE,FALSE,FALSE,c(611203.217560786, 5040231.51330534),FALSE,TRUE,318
"55","ab-26082565","Rooftop Hot tub & Billiards Townhouse | Sleeps 35+","Entire home/apt",2018-08-02,2019-05-23,26082565,193770682,NA,NA,24661937,TRUE,500017188,9,303,8872,FALSE,TRUE,FALSE,c(611857.672690248, 5041388.24012921),FALSE,TRUE,271
"56","ab-26085524","NEW AMAZING CONDO IN HEART OF PLATEAU WALKSCORE 99","Entire home/apt",2018-06-17,2019-05-24,26085524,47981159,NA,NA,24661816,FALSE,NA,270,329,21863,TRUE,TRUE,FALSE,c(611287.985424868, 5043156.21637244),FALSE,FALSE,317
"57","ab-26109667","A bed in Plateau triplex home near Lafontaine Park","Shared room",2018-06-20,2018-08-27,26109667,87365450,NA,NA,24661799,FALSE,NA,18,322,392,FALSE,FALSE,FALSE,c(612052.568282059, 5043198.62636173),FALSE,TRUE,314
"58","ab-26128991","DL | Stunning 1BDRM Loft Heart of Downtown/Plateau","Entire home/apt",2018-06-20,2019-05-05,26128991,156065758,"7598901",NA,24661269,FALSE,NA,194,324,22740,TRUE,TRUE,FALSE,c(611708.483719239, 5040859.92611429),FALSE,FALSE,314
"59","ab-26166905","4bdrm Plateau (Monthly Rental)","Entire home/apt",2018-07-02,2018-07-14,26166905,152087028,NA,NA,24661945,FALSE,NA,0,333,0,FALSE,TRUE,FALSE,c(610981.316741512, 5041362.94255544),FALSE,FALSE,302
"60","ab-26174051","Plateau - Luxury Penthouse PLATO ultra by Liv MTL","Entire home/apt",2018-06-29,2019-05-21,26174051,73995257,NA,NA,24661900,TRUE,375882081,130,309,34671,TRUE,TRUE,FALSE,c(611031.064448895, 5042580.44131049),FALSE,TRUE,305
"61","ab-26220096","Appartement au cœur du quartier des spectacles.","Entire home/apt",2018-06-29,2018-08-07,26220096,113685152,NA,NA,24661269,FALSE,NA,11,331,1880,FALSE,FALSE,FALSE,c(611791.527256158, 5040741.18665453),FALSE,TRUE,305
