ETBL_ID,ADR_ID,ADR_GENRE_ID,ADR_GENRE_FR,ADR_GENRE_EN,ADR_PRINCIPALE,ADR_CIVIQUE,ADR_MUNICIPALITE,ADR_PROVINCE,ADR_PAYS,ADR_CODE_POSTAL,ADR_LATITUDE,ADR_LONGITUDE
379126494,379127560,7,Exploitation,Operations,1,"1116, chemin de la Baie-Solitaire",Rouyn-Noranda,Québec,Canada,J0Z3J0,47.938144,-79.263056
372233782,372234572,7,Exploitation,Operations,1,"8390, boulevard Rideau",Rouyn-Noranda,Québec,Canada,J0Z2X0,48.112122,-79.260482
500015811,500005763,7,Exploitation,Operations,1,"279, chemin des Montagnards",Palmarolle,Québec,Canada,J0Z3C0,48.674211,-79.25984
11720098,11720114,7,Exploitation,Operations,1,"1, chemin du Lac-Pajegasque",Gouvernement régional d'Eeyou Istchee Baie-James,Québec,Canada,J0Z1H0,49.03968,-79.24903
87809025,100509885,7,Exploitation,Operations,1,Lac Duparquet,Duparquet,Québec,Canada,,48.49585,-79.24067
265435928,265453083,7,Exploitation,Operations,1,Lac Duparquet,Duparquet,Québec,Canada,,48.4959899,-79.23823
394426552,394427588,7,Exploitation,Operations,1,"100, chemin du Camping",Rémigny,Québec,Canada,J0Z3H0,47.789447,-79.234434
265436084,265453119,7,Exploitation,Operations,1,Lac des Quinze - Barrage,Angliers,Québec,Canada,,47.55148,-79.23431
265435762,265453037,7,Exploitation,Operations,1,Lac des Quinze,Angliers,Québec,Canada,,47.55084,-79.23292
179988534,185454089,7,Exploitation,Operations,1,Lac Remigny,Rémigny,Québec,Canada,,47.8231799,-79.23291
11705391,11705409,7,Exploitation,Operations,1,"733, ch. du Camping",Duparquet,Québec,Canada,J0Z1W0,48.503722,-79.225534
265436042,265453107,7,Exploitation,Operations,1,Lac Kipawa - Baie des Plongeurs,Laniel,Québec,Canada,,47.1212,-79.22017
87736199,100509618,7,Exploitation,Operations,1,Lac Kipawa,Laniel,Québec,Canada,,47.08611,-79.21693
87723833,100506469,7,Exploitation,Operations,1,Lac Kipawa - Baie des Deux Milles,Laniel,Québec,Canada,,47.08396,-79.21677
500016497,500007576,7,Exploitation,Operations,1,"3449, rang Francoeur",Rouyn-Noranda,Québec,Canada,J0Z3J0,47.894575,-79.211493
179989209,179989407,7,Exploitation,Operations,1,Lac Rémigny,Rémigny,Québec,Canada,,47.76054,-79.21147
395941710,395943123,7,Exploitation,Operations,1,"1295, chemin de l'église",Rémigny,Québec,Canada,J0Z3H0,47.762004,-79.209055
153461710,153462801,7,Exploitation,Operations,1,"7, 7e av. O. condo 1",La Sarre,Québec,Canada,J9Z1M2,48.80297,-79.206179
882514,13343428,7,Exploitation,Operations,1,"32, rte 111 E.",La Sarre,Québec,Canada,J9Z1R7,48.796795,-79.201665
877557,13632622,7,Exploitation,Operations,1,"637, 2e Rue E.",La Sarre,Québec,Canada,J9Z3M2,48.790482,-79.199884
265436056,265453111,7,Exploitation,Operations,1,Lac des Quinze,Angliers,Québec,Canada,,47.56235,-79.18935
387877715,387878471,7,Exploitation,Operations,1,"3449, rang Francoeur",Rouyn-Noranda,Québec,Canada,J0Z3J0,47.905376,-79.188424
265435892,265453073,7,Exploitation,Operations,1,Lac des Quinze,Angliers,Québec,Canada,,47.57552,-79.17206
500015883,500005976,7,Exploitation,Operations,1,"984, montée des Gardes-Feu",Val-Saint-Gilles,Québec,Canada,J0Z3T0,48.992583,-79.1668
12739115,12739124,7,Exploitation,Operations,1,"881, ch. des Linaigrettes",Palmarolle,Québec,Canada,J0Z3C0,48.6903561,-79.1660871
848263,16473524,7,Exploitation,Operations,1,"3288, rang du Lac-Flavrian",Rouyn-Noranda,Québec,Canada,J0Z1Y1,48.272899,-79.163581
385702461,385703468,7,Exploitation,Operations,1,"3729, rue de l'Église",Eeyou Istchee Baie-James,Québec,Canada,J0Z3V0,49.09727,-79.1459
287152386,287153184,7,Exploitation,Operations,1,Lac Kipawa - Sud-Ouest Baie du Huard,Laniel,Québec,Canada,,47.04831,-79.1307
208636274,208636522,7,Exploitation,Operations,1,"1771, ch. de la Baie-Gillies",Fugèreville,Québec,Canada,J0Z2A0,47.4170719,-79.1191638
265436012,265453099,7,Exploitation,Operations,1,Lac Kipawa - Baie du Huard,Rouyn-Noranda,Québec,Canada,,47.0842299,-79.11889
847984,11513241,7,Exploitation,Operations,1,"1771, ch. de la Baie-Gillies",Fugèreville,Québec,Canada,J0Z2A0,47.420647,-79.118375
395941660,395943113,7,Exploitation,Operations,1,"4042, chemin Beauchastel",Rouyn-Noranda,Québec,Canada,J9Y1K4,48.170356,-79.114965
265435862,265453065,7,Exploitation,Operations,1,Lac des Quinze,Latulipe-et-Gaboury,Québec,Canada,,47.41529,-79.10434
500017204,500009352,7,Exploitation,Operations,1,"71B, 7e-et-8e Rang Ouest",Latulipe-et-Gaboury,Québec,Canada,J0Z2N0,47.415017,-79.103665
366762951,366766850,7,Exploitation,Operations,1,"3001, rang du Lac-Flavrian",Rouyn-Noranda,Québec,Canada,J0Z1Y1,48.2694,-79.1036
278686550,278688890,7,Exploitation,Operations,1,"17, rue de la Marina",Témiscaming,Québec,Canada,J0Z3R0,46.7180675,-79.1034806
265435983,265453091,7,Exploitation,Operations,1,Lac Kipawa - Baie du Huard,Laniel,Québec,Canada,,47.04413,-79.10133
500016181,500006769,7,Exploitation,Operations,1,"5555, chemin d'Opémican",Témiscaming,Québec,Canada,J0Z3R0,46.835695,-79.100747
500014758,500003138,7,Exploitation,Operations,1,"492, chemin Kipawa",Témiscaming,Québec,Canada,J0Z3R0,46.721846,-79.095764
258797125,258799255,7,Exploitation,Operations,1,"545, chemin Kipawa",Témiscaming,Québec,Canada,J0Z3R0,46.7224713,-79.0948323
345326846,345414791,7,Exploitation,Operations,1,557 ch. Kipawa,Témiscaming,Québec,Canada,J0Z3R0,46.72275,-79.09449
265435834,265453057,7,Exploitation,Operations,1,Lac Kipawa - Baie Smith,Les Lacs-du-Témiscamingue,Québec,Canada,,47.10807,-79.08791
265435652,265453012,7,Exploitation,Operations,1,Tee Lake,Kipawa,Québec,Canada,,46.7418879,-79.073151
877952,13333221,7,Exploitation,Operations,1,"1431, ch. Kipawa",Témiscaming,Québec,Canada,J0Z3R0,46.7348,-79.072754
251496466,251498323,7,Exploitation,Operations,1,"1451, chemin Powell",Rouyn-Noranda,Québec,Canada,J9X5A5,48.2719125,-79.0687498
500015203,500004222,7,Exploitation,Operations,1,"1640, chemin Kipawa",Témiscaming,Québec,Canada,J0Z3R0,46.738092,-79.066056
265435884,265453071,7,Exploitation,Operations,1,Lac-Kipawa 1,Les Lacs-du-Témiscamingue,Québec,Canada,,47.0806199,-79.06558
396657446,396658445,7,Exploitation,Operations,1,Lac Kipawa,Laniel,Québec,Canada,,47.02304,-79.04868
265435998,265453095,7,Exploitation,Operations,1,Lac Kipawa,Les Lacs-du-Témiscamingue,Québec,Canada,,46.9743299,-79.04763
203994590,203997585,7,Exploitation,Operations,1,Lac Kipawa - Hay Bay,Laniel,Québec,Canada,,47.10984,-79.04486
12736468,12736495,7,Exploitation,Operations,1,"71, 7e-et-8e rang O.",Latulipe-et-Gaboury,Québec,Canada,J0Z2N0,47.426909,-79.041466
867200,13336384,7,Exploitation,Operations,1,"260, boul. Rideau",Rouyn-Noranda,Québec,Canada,J9X1P1,48.243596,-79.040354
500014808,500003209,7,Exploitation,Operations,1,"447, avenue des Bouleaux",Rouyn-Noranda,Québec,Canada,J9X5P4,48.224949,-79.030524
